label,title,,,,,,,,,,,,,,,,,,
8,International Customers,,,,,,,,,,,,,,,,,,
0,Opting Out of Technologies,,,,,,,,,,,,0,Definitions,,,,,
1,Information Collection and Use,,,,,,,,,,,,,,,,,,
1,Types of Data Collected ,,,,,,,,,,,,,,,,,,
13,Usage Data ,,,,,,,,,,,,,,,,,,
2,Tracking & Cookies Data ,,,,,,,,,,,,,,,,,,
13,Use of Data ,,,,,,,,,,,,,,,,,,
8,Transfer of Data ,,,,,,,,,,,,,,,,,,
3,Disclosure of Data ,,,,,,,,,,,,,,,,,,
4,Security of Data ,,,,,,,,,,,,,,,,,,
11,Service Providers ,,,,,,,,,,,,,,,,,,
14,Links to Other Sites ,,,,,,,,,,,,,,,,,,
7,Children's Privacy,,,,,,,,,,,,,,,,,,
9,Changes to This Privacy Policy ,,,,,,,,,,,,,,,,,,
11,Contact Us,,,,,,,,,,,,,0,children under the age of 13,,,,
15,information we collect and how we collect it,,,,,,,,,,,,,,,,,,
13,how we use your information.,,,,,,,,,,,,,,,,,,
3,disclosure of your information,,,,,,,,,,,,,,,,,,
6,"your choices about our collection, use and disclosure of your information",,,,,,,,,,,,,,,,,,
8,your california privacy rights,,,,,,,,,,,,,,,,,,
4,data security,,,,,,,,,,,,,,,,,,
9,changes to our privacy policy,,,,,,,,,,,,,,,,,,
11,contact information,,,,,,,,,,,,,,,,,,
1,information you provide to us,,,,,,,,,,,,,,,,,,
1,automatic information collection and tracking,,,,,,,,,,,,,,,,,,
0,information collection and tracking technologies,,,,,,,,,,,,,,,,,,
1,Personal identification information,,,,,,,,,,,,,,,,,,
1,Non-personal identification information,,,,,,,,,,,,,,,,,,
2,Web browser cookies,,,,,,,,,,,,,,,,,,
13,How we use collected information,,,,,,,,,,,,,,,,,,
0,To run and operate our Site,,,,,,,,,,,,,,,,,,
3,Sharing your personal information,,,,,,,,,,,,,,,,,,
0,Electronic newsletters,,,,,,,,,,,,,,,,,,
14,Third party websites,,,,,,,,,,,,,,,,,,
9,Changes to this privacy policy,,,,,,,,,,,,,,,,,,
6,Your acceptance of these terms,,,,,,,,,,,,,,,,,,
11,Contacting us,,,,,,,,,,,,,,0, Collecting Personal Information ,,,
13,Using Information,,,,,,,,,,,,,,,,,,
4,Protecting Information,,,,,,,,,,,,,,,,,,
2,Web Browser Cookies,,,,,,,,,,,,,,,,,,
3,Sharing Information,,,,,,,,,,,,,,,,,,
14,Third-Party Websites ,,,,,,,,,,,,,,,,,,
6,Your Consent,,,,,,,,,,,,,,,0,PERSONAL INFORMATION WE COLLECT,,
4,HOW DO WE PROTECT YOUR DATA?,,,,,,,,,,,,,,,,,,
13,HOW DO WE USE YOUR PERSONAL INFORMATION?,,,,,,,,,,,,,,,,,,
3,SHARING YOUR PERSONAL INFORMATION,,,,,,,,,,,,,,,,,,
0,DO NOT TRACK,,,,,,,,,,,,,,,,,,
12,DATA RETENTION,,,,,,,,,,,,,,,,,,
9,CHANGES,,,,,,,,,,,,,,,,,,
11,CONTACT US,,,,,,,,,,,,,,,,0,,
13,What we do with the information we gather.,,,,,,,,,,,,,,,,,,
4,Security.,,,,,,,,,,,,,,,,,,
2,How we use cookies,,,,,,,,,,,,,,,,,,
14,Links to other websites,,,,,,,,,,,,,,,,,,
1,Controlling your personal information,,,,,,,,,,,,,,,,0,Privacy Policy,
1,Personal identification information,,,,,,,,,,,,,,,,,,
1,Non-personal identification information,,,,,,,,,,,,,,,,,,
2,Web browser cookies,,,,,,,,,,,,,,,,,,
13,How we use collected information,,,,,,,,,,,,,,,,,,
4,How we protect your information,,,,,,,,,,,,,,,,,,
3,Sharing your personal information,,,,,,,,,,,,,,,,,,
9,Changes to this privacy policy,,,,,,,,,,,,,,,,,,
6,Your acceptance of these terms,,,,,,,,,,,,,,,,,,
11,Contacting us,,,,,,,,,,,,,,,,,,
13,how the personal data is used,,,,,,,,,,,,,,,,,,
7,prarent's consent,,,,,,,,,,,,,,,,,0,BAMBOO LEARNING PRIVACY POLICY
0,OUR PRIVACY PRINCIPLES,,,,,,,,,,,,,,,,,,
13,WHY WE COLLECT PERSONAL INFORMATION,,,,,,,,,,,,,,,,,,
15,WHAT INFORMATION WE COLLECT AND WHEN WE COLLECT IT,,,,,,,,,,,,,,,,,,
3,HOW WE MAY SHARE INFORMATION WE COLLECT,,,,,,,,,,,,,,,,,,
6,YOUR COMMUNICATION CHOICES,,,,,,,,,,,,,,,,,,
0,INTEGRITY OF YOUR PERSONAL INFORMATION,,,,,,,,,,,,,,,,,,
7,CHILDREN,,,,,,,,,,,,,,,,,,
4,OUR COMPANYWIDE COMMITMENT TO YOUR PRIVACY,,,,,,,,,,,,,,,,,,
1,"What personal information do we collect from the people that visit our blog, website or app?",,,,,,,,,,,,,,,,,,
0,When do we collect information?,,,,,,,,,,,,,,,,,,
13,How do we use your information? ,,,,,,,,,,,,,,,,,,
4,How do we protect your information?,,,,,,,,,,,,,,,,,,
2,Do we use 'cookies'?,,,,,,,,,,,,,,,,,,
3,Third-party disclosure,,,,,,,,,,,,,,,,,,
3,Third-party links,,,,,,,,,,,,,,,,,,
0,Google,,,,,,,,,,,,,,,,,,
8,California Online Privacy Protection Act,,,,,,,,,,,,,,,,,,
0,How does our site handle Do Not Track signals?,,,,,,,,,,,,,,,,,,
0,Does our site allow third-party behavioral tracking?,,,,,,,,,,,,,,,,,,
7,COPPA (Children Online Privacy Protection Act),,,,,,,,,,,,,,,,,,
0,Fair Information Practices,,,,,,,,,,,,,,,,,,
0,"In order to be in line with Fair Information Practices we will take the following responsive action, should a data breach occur:",,,,,,,,,,,,,,,,,,
13,We collect your email address in order to:,,,,,,,,,,,,,,,,,,
11,Contacting Us,,,,,,,,,,,,,,,,,,
1,What information do we collect?,,,,,,,,,,,,,,,,,,
13,What do we use your information for?,,,,,,,,,,,,,,,,,,
2,Do we use cookies?,,,,,,,,,,,,,,,,,,
3,Do we disclose any information to outside parties?,,,,,,,,,,,,,,,,,,
4,Data protection,,,,,,,,,,,,,,,,,,
7,Parent's consent,,,,,,,,,,,,,,,,,,
11,Contact Us,,,,,,,,,,,,,,,,,,
1,What personal data we collect and why we collect it,,,,,,,,,,,,,,,,,,
3,Who we share your data with,,,,,,,,,,,,,,,,,,
12,How long we retain your data,,,,,,,,,,,,,,,,,,
6,What rights you have over your data,,,,,,,,,,,,,,,,,,
3,Where we send your data,,,,,,,,,,,,,,,,,,
0,Additional information,,,,,,,,,,,,,,,,,,
11,Contact information,,,,,,,,,,,,,,,,,,
0,Privacy Policy,,,,,,,,,,,,,,,,,,
15,Information Collection and Use,,,,,,,,,,,,,,,,,,
1,Log Data,,,,,,,,,,,,,,,,,,
4,Security,,,,,,,,,,,,,,,,,,
7,Children__ Privacy,,,,,,,,,,,,,,,,,,
9,Changes to This Privacy Policy,,,,,,,,,,,,,,,,,,
11,Contact Us,,,,,,,,,,,,,,,,,,
0,Essential definitions,,,,,,,,,,,,,,,,,,
15,About the collection AND USE of your Personal Data,,,,,,,,,,,,,,,,,,
12,HOW LONG DO WE SAVE YOUR PERSONAL DATA?,,,,,,,,,,,,,,,,,,
3,DO WE SHARE YOUR PERSONAL DATA?,,,,,,,,,,,,,,,,,,
4,How do WE SECURE YOUR PERSONAL DATA?,,,,,,,,,,,,,,,,,,
3,About international transfers of your Personal Data,,,,,,,,,,,,,,,,,,
6,Your rights as a Data Subject,,,,,,,,,,,,,,,,,,
9,Policy updates,,,,,,,,,,,,,,,,,,
1,Types of personal information we collect,,,,,,,,,,,,,,,,,,
1,Information you provide to us,,,,,,,,,,,,,,,,,,
1,Information we collect automatically,,,,,,,,,,,,,,,,,,
1,Information we collect from other sources,,,,,,,,,,,,,,,,,,
13,Use of information,,,,,,,,,,,,,,,,,,
3,Transfer of information to the U.S. and other countries,,,,,,,,,,,,,,,,,,
3,Sharing of information,,,,,,,,,,,,,,,,,,
3,Third party advertising and analytics services,,,,,,,,,,,,,,,,,,
4,Security,,,,,,,,,,,,,,,,,,
6,Your choices,,,,,,,,,,,,,,,,,,
1,Account information and access your information,,,,,,,,,,,,,,,,,,
2,Cookies,,,,,,,,,,,,,,,,,,
1,Location information,,,,,,,,,,,,,,,,,,
4,Security,,,,,,,,,,,,,,,,,,
9,How might this privacy notice be changed?,,,,,,,,,,,,,,,,,,
11,Contact information,,,,,,,,,,,,,,,,,,
15,Information Collection and Use,,,,,,,,,,,,,,,,,,
1,Log Data,,,,,,,,,,,,,,,,,,
2,Cookies,,,,,,,,,,,,,,,,,,
11,Service Providers,,,,,,,,,,,,,,,,,,
4,Security,,,,,,,,,,,,,,,,,,
3,Links to Other Sites,,,,,,,,,,,,,,,,,,
9,Changes to This Privacy Policy,,,,,,,,,,,,,,,,,,
11,Contact Us,,,,,,,,,,,,,,,,,,
13,purposes of processing your personal information,,,,,,,,,,,,,,,,,,
13,purposes of processing your personal information,,,,,,,,,,,,,,,,,,
13,purposes of processing your personal information,,,,,,,,,,,,,,,,,,
13,purposes of processing your personal information,,,,,,,,,,,,,,,,,,
